[GLOBAL/INFO] Launching StatBananaMaps version 1.6.3 (engine version 0.1.0)
[GLOBAL/INFO] Starting 15 workers
[RENDER/DEBUG] Opening window
[RENDER/WARN] Unable to open texture file textures/smooth_normals.png
[RENDER/DEBUG] Render system finished loading.
[RENDER/DEBUG] Linking program 3
[RENDER/INFO] Loading fonts
[GLOBAL/INFO] Initializing game data
[GLOBAL/INFO] Loading maps
[RENDER/INFO] Loaded font fonts/Carlito-Bold.ttf to 26
[RENDER/INFO] Loaded font fonts/Carlito-Regular.ttf to 27
[RENDER/INFO] Loaded font fonts/Carlito-Regular.ttf to 28
[RENDER/INFO] Loaded font fonts/Carlito-Regular.ttf to 29
[RENDER/DEBUG] Finished loading texture textures/icons/ana_red.png as id 31
[RENDER/DEBUG] Finished loading texture textures/icons/genji.png as id 32
[RENDER/DEBUG] Finished loading texture textures/icons/echo.png as id 33
[RENDER/DEBUG] Finished loading texture textures/icons/dva_ult2.png as id 34
[RENDER/DEBUG] Finished loading texture textures/icons/brig.png as id 35
[RENDER/DEBUG] Finished loading texture textures/icons/doomfist_red.png as id 36
[RENDER/DEBUG] Finished loading texture textures/icons/ana.png as id 37
[RENDER/DEBUG] Finished loading texture textures/icons/dva_blue.png as id 38
[RENDER/DEBUG] Finished loading texture textures/icons/bastion_ult.png as id 39
[RENDER/DEBUG] Finished loading texture textures/icons/bastion.png as id 40
[RENDER/DEBUG] Finished loading texture textures/icons/echo_blue.png as id 41
[RENDER/DEBUG] Finished loading texture textures/icons/hanzo_blue.png as id 42
[RENDER/DEBUG] Finished loading texture textures/icons/hanzo_red.png as id 43
[RENDER/DEBUG] Finished loading texture textures/icons/hanzo_ult.png as id 44
[RENDER/DEBUG] Finished loading texture textures/icons/genji_red.png as id 45
[RENDER/DEBUG] Finished loading texture textures/icons/genji_ult.png as id 46
[RENDER/DEBUG] Finished loading texture textures/icons/hanzo.png as id 47
[RENDER/DEBUG] Finished loading texture textures/icons/dva_red.png as id 48
[RENDER/DEBUG] Finished loading texture textures/icons/echo_red.png as id 49
[RENDER/DEBUG] Finished loading texture textures/icons/genji_blue.png as id 50
[RENDER/DEBUG] Finished loading texture textures/icons/mei_ult.png as id 51
[RENDER/DEBUG] Finished loading texture textures/icons/junkrat_red.png as id 52
[RENDER/DEBUG] Finished loading texture textures/icons/junkrat_ult.png as id 53
[RENDER/DEBUG] Finished loading texture textures/icons/lucio_blue.png as id 54
[RENDER/DEBUG] Finished loading texture textures/icons/mccree_red.png as id 55
[RENDER/DEBUG] Finished loading texture textures/icons/mei_red.png as id 56
[RENDER/DEBUG] Finished loading texture textures/icons/lucio.png as id 57
[RENDER/DEBUG] Finished loading texture textures/icons/junkrat_blue.png as id 58
[RENDER/DEBUG] Finished loading texture textures/icons/mccree_ult.png as id 59
[RENDER/DEBUG] Finished loading texture textures/icons/lucio_ult.png as id 60
[RENDER/DEBUG] Finished loading texture textures/icons/pharah_red.png as id 61
[RENDER/DEBUG] Finished loading texture textures/icons/reinhardt_ult.png as id 62
[RENDER/DEBUG] Finished loading texture textures/icons/reaper_ult.png as id 63
[RENDER/DEBUG] Finished loading texture textures/icons/reaper_red.png as id 64
[RENDER/DEBUG] Finished loading texture textures/icons/reaper.png as id 65
[RENDER/DEBUG] Finished loading texture textures/icons/pharah_ult.png as id 66
[RENDER/DEBUG] Finished loading texture textures/icons/mercy_blue.png as id 67
[RENDER/DEBUG] Finished loading texture textures/icons/orisa_red.png as id 68
[RENDER/DEBUG] Finished loading texture textures/icons/pharah_blue.png as id 69
[RENDER/DEBUG] Finished loading texture textures/icons/pharah.png as id 70
